id,Name,Location,Pincode,Category,Total beds ICU,Total beds normal,Total beds ventilation,Available beds ICU,Available beds normal,Available beds ventilation
2432,Christian Hospital Northeast-northwest,"Saint Louis, MO",,Private,405,169,71,16,133,41
2433,Saint Francis Medical Center,"Cape Girardeau, MO",,Church,67,89,36,33,54,14
2434,Lake Regional Health System,"Osage Beach, MO",,Unknown,83,175,1,46,130,0
2435,Lee's Summit Medical Center,"Lees Summit, MO",,Proprietary,479,593,24,154,118,5
2436,Barnes-jewish St Peters Hospital,"Saint Peters, MO",,Unknown,103,450,39,50,288,34
2437,St Mary's Medical Center,"Blue Springs, MO",,Church,276,369,3,101,262,0
2438,Citizens Memorial Hospital,"Bolivar, MO",,Government,338,102,43,155,99,3
2439,Ssm Health Saint Joseph Hospital-lake Saint Louis,"Lake Saint Louis, MO",,Church,298,682,71,139,544,32
2440,Fulton Medical Center Llc,"Fulton, MO",,Private,189,608,63,19,98,29
2441,St Alexius Hospital,"Saint Louis, MO",,Proprietary,35,520,70,2,405,22
2442,Belton Regional Medical Center,"Belton, MO",,Private,52,283,24,43,25,7
2443,Saint Luke's East Lee's Summit Hospital,"Lees Summit, MO",,Private,352,157,39,136,36,12
2444,Progress West Hospital,"O Fallon, MO",,Private,431,385,12,304,334,2
2445,Black River Community Medical Center,"Poplar Bluff, MO",,Private,241,348,48,7,106,27
2446,Ellett Memorial Hospital,"Appleton City, MO",,Government,324,202,18,6,159,7
2447,Madison Medical Center,"Fredericktown, MO",,Unknown,369,243,68,59,184,68
2448,Community Hospital Association,"Fairfax, MO",,Private,140,426,31,107,28,25
2449,Putnam County Memorial Hospital,"Unionville, MO",,Unknown,467,613,8,48,323,2
2450,Sullivan County Memorial Hospital,"Milan, MO",,Government,396,664,50,102,569,26
2451,Pershing Memorial Hospital,"Brookfield, MO",,Private,279,430,41,190,353,28
2452,Washington County Memorial Hospital,"Potosi, MO",,Government,86,96,8,82,36,7
2453,Wright Memorial Hospital,"Trenton, MO",,Private,444,374,62,408,203,6
2454,Scotland County  Hospital,"Memphis, MO",,Government,144,644,1,77,60,1
2455,Perry County Memorial Hospital,"Perryville, MO",,Government,29,79,12,6,34,7
2456,Harrison County Community Hospital,"Bethany, MO",,Government,162,109,65,21,51,56
2457,Macon County Samaritan Memorial Hospital,"Macon, MO",,Government,280,434,63,86,293,1
2458,Hermann Area District Hospital,"Hermann, MO",,Government,283,79,37,236,6,2
2459,Parkland Health Center - Bonne Terre,"Bonne Terre, MO",,Private,422,46,10,291,37,10
2460,Mercy Hospital Aurora,"Aurora, MO",,Church,239,311,75,214,284,28
2461,Mercy Hospital Cassville,"Cassville, MO",,Church,369,252,37,225,194,22
2462,Salem Memorial District Hospital,"Salem, MO",,Government,158,432,25,19,127,5
2463,Mercy Hospital Lincoln,"Troy, MO",,Government,30,81,74,28,52,33
2464,Lafayette Regional Health Center,"Lexington, MO",,Proprietary,104,234,65,45,207,63
2465,Hedrick Medical Center,"Chillicothe, MO",,Private,257,294,17,93,59,16
2466,Excelsior Springs Hospital,"Excelsior Springs, MO",,Government,432,691,36,261,596,26
2467,Cedar County Memorial Hospital,"El Dorado Springs, MO",,Government,18,501,1,14,351,0
2468,Cass Regional Medical Center,"Harrisonville, MO",,Government,361,520,49,129,276,47
2469,Cox Barton County Hospital,"Lamar, MO",,Government,202,37,67,1,27,20
2470,Ray County Memorial Hospital,"Richmond, MO",,Government,11,49,31,6,4,21
2471,Northwest Medical Center,"Albany, MO",,Private,100,669,41,26,63,11
2472,Cox Monett Hospital,"Monett, MO",,Private,450,128,23,196,41,1
2473,Ste Genevieve County Memorial Hospital,"Sainte Genevieve, MO",,Government,302,278,25,272,265,9
2474,Freeman Neosho Hospital,"Neosho, MO",,Private,128,597,53,71,512,39
2475,Carroll County Memorial Hospital,"Carrollton, MO",,Private,77,280,77,29,163,6
2476,Pike County Memorial Hospital,"Louisiana, MO",,Government,425,536,10,165,421,3
2477,I-70 Community Hospital,"Sweet Springs, MO",,Proprietary,412,607,48,131,334,13
2478,Mercy St Francis Hospital,"Mountain View, MO",,Private,310,127,52,23,62,29
2479,Iron County Medical Center,"Pilot Knob, MO",,Government,443,435,28,30,267,10
2480,Missouri Baptist Sullivan Hospital,"Sullivan, MO",,Private,266,469,59,125,268,25
2481,Mercy Hospital Carthage,"Carthage, MO",,Government,193,576,15,184,426,8
2482,St Louis Childrens Hospital,"Saint Louis, MO",,Unknown,386,557,9,28,66,5
2483,Childrens Mercy Hospital,"Kansas City, MO",,Private,185,682,4,68,45,4
2484,Ranken Jordan A Pediatric Rehab,"Maryland Heights, MO",,Private,147,355,31,75,59,28
2485,Shriners Hospitals For Children,"Saint Louis, MO",,Private,307,86,38,236,16,27
2486,St Peters Hospital,"Helena, MT",,Private,159,131,7,127,89,1
2487,Billings Clinic Hospital,"Billings, MT",,Private,466,604,44,229,402,10
2488,Benefis Hospitals Inc,"Great Falls, MT",,Private,189,281,66,36,147,7
2489,St Patrick Hospital,"Missoula, MT",,Church,289,424,58,33,171,33
2490,St James Healthcare,"Butte, MT",,Private,478,416,75,478,98,42
2491,Community Medical Center,"Missoula, MT",,Private,97,440,30,47,2,28
2492,Northern Montana Hospital,"Havre, MT",,Private,264,156,38,5,137,11
2493,St Vincent Healthcare,"Billings, MT",,Church,298,341,15,202,175,12
2494,Kalispell Regional Medical Center,"Kalispell, MT",,Private,377,432,17,100,34,8
2495,Bozeman Health Deaconess Hospital,"Bozeman, MT",,Private,282,395,29,177,189,16
2496,P H S Indian Hospital At Browning - Blackfeet,"Browning, MT",,Government,130,84,70,63,58,50
2497,Great Falls Clinic Hospital,"Great Falls, MT",,Proprietary,63,76,70,43,53,2
2498,The Healthcenter,"Kalispell, MT",,Proprietary,66,158,14,17,77,14
2499,Big Sky Medical Center,"Big Sky, MT",,Private,134,383,15,69,215,13
2500,Poplar Community Hospital,"Poplar, MT",,Private,357,217,66,77,63,63
2501,Fallon Medical Complex Hospital,"Baker, MT",,Private,295,190,30,267,2,25
2502,Dahl Memorial Healthcare Assoc,"Ekalaka, MT",,Private,45,325,16,13,223,0
2503,Granite County Medical Center,"Philipsburg, MT",,Government,73,404,76,16,202,66
2504,Missouri River Medical Center,"Fort Benton, MT",,Government,319,351,20,302,68,6
2505,Mccone County Health Center,"Circle, MT",,Private,268,600,45,70,387,35
2506,Mountainview Medical Center,"White Sulphur Spring, MT",,Private,484,197,20,45,136,1
2507,Benefis Teton Medical Center,"Choteau, MT",,Private,249,207,43,111,72,10
2508,Roosevelt Medical Center,"Culbertson, MT",,Private,84,686,4,57,94,1
2509,Prairie Community Hospital,"Terry, MT",,Government,301,592,28,62,449,13
2510,Garfield County Health Center,"Jordan, MT",,Government,397,247,73,159,124,56
2511,Big Sandy Medical Center,"Big Sandy, MT",,Private,78,353,25,4,154,8
2512,Phillips County Medical Center,"Malta, MT",,Private,316,574,16,133,171,8
2513,Pioneer Medical Center,"Big Timber, MT",,Government,89,696,30,17,249,6
2514,Deer Lodge Medical Center,"Deer Lodge, MT",,Private,421,593,46,303,509,20
2515,P H S Indian Hospital-ft Belknap At Harlem - Cah,"Harlem, MT",,Government,189,138,52,97,112,41
2516,Frances Mahon Deaconess Hospital,"Glasgow, MT",,Private,92,153,33,10,0,5
2517,Livingston Healthcare,"Livingston, MT",,Private,135,234,10,26,171,5
2518,Barrett Hospital & Healthcare,"Dillon, MT",,Government,123,203,40,108,90,29
2519,Ruby Valley Medical Center,"Sheridan, MT",,Government,149,248,62,45,151,30
2520,Cabinet Peaks Medical Center,"Libby, MT",,Private,381,486,45,266,395,37
2521,Wheatland Memorial Hospital,"Harlowton, MT",,Government,173,608,35,106,437,7
2522,Sheridan Memorial Hosptial,"Plentywood, MT",,Private,467,579,4,80,326,4
2523,Clark Fork Valley Hospital,"Plains, MT",,Private,333,245,65,71,151,57
2524,Pondera Medical Center,"Conrad, MT",,Private,270,287,15,176,116,1
2525,St Luke Community Hospital,"Ronan, MT",,Private,128,408,72,116,368,20
2526,Beartooth Billings Clinic,"Red Lodge, MT",,Private,303,405,60,176,278,38
2527,Rosebud Health Care Center,"Forsyth, MT",,Private,469,231,20,147,229,5
2528,Marias Medical Center,"Shelby, MT",,Government,196,225,11,142,98,0
2529,Madison Valley Medical Center,"Ennis, MT",,Government,443,102,46,327,2,13
2530,Stillwater Billings Clinic,"Columbus, MT",,Private,85,406,11,49,259,7
2531,Mineral Community Hospital,"Superior, MT",,Private,32,432,34,32,214,8
2532,Glendive Medical Center,"Glendive, MT",,Unknown,392,683,66,344,32,7
2533,Broadwater Health Center,"Townsend, MT",,Private,231,397,67,123,30,18
2534,Liberty Medical Center,"Chester, MT",,Private,102,560,43,1,429,5
2535,Community Hospital Of Anaconda,"Anaconda, MT",,Private,318,145,13,315,16,12
2536,North Valley Hospital,"Whitefish, MT",,Private,56,230,9,20,211,2
2537,Northern Rockies Medical Center,"Cut Bank, MT",,Private,166,644,63,145,54,31
2538,Big Horn Co Memorial Hospital,"Hardin, MT",,Government,341,71,4,99,37,4
2539,P H S Indian Hospital Crow / Northern Cheyenne,"Crow Agency, MT",,Government,388,652,4,365,260,4
2540,Marcus Daly Memorial Hospital - Cah,"Hamilton, MT",,Private,38,216,68,31,169,53
2541,Trinity Hospital,"Wolf Point, MT",,Private,99,361,22,11,199,19
2542,Daniels Memorial Hospital,"Scobey, MT",,Government,264,190,58,62,27,22
2543,Providence St Joseph Medical Center,"Polson, MT",,Private,25,80,46,14,19,12
2544,Sidney Health Center,"Sidney, MT",,Private,14,119,60,2,71,8
2545,Central Montana Medical Center,"Lewistown, MT",,Private,86,554,66,51,26,19
2546,Roundup Memorial Healthcare,"Roundup, MT",,Government,32,628,55,28,293,17
2547,Holy Rosary Healthcare,"Miles City, MT",,Private,156,56,40,75,37,38
2548,Bryan Medical Center,"Lincoln, NE",,Private,493,70,60,461,49,4
2549,Chi Health Good Samaritan,"Kearney, NE",,Church,468,675,32,194,419,13
2550,The Nebraska Medical Center,"Omaha, NE",,Private,235,220,47,5,46,37
2551,Chi Health St Elizabeth,"Lincoln, NE",,Private,208,399,71,132,27,4
2552,Chi Health St Francis,"Grand Island, NE",,Church,86,391,44,27,206,20
2553,Mary Lanning Healthcare,"Hastings, NE",,Unknown,14,464,55,1,2,54
2554,Methodist Hospital,"Omaha, NE",,Private,280,232,23,66,14,9
2555,Chi Health Creighton University Medical Center - B,"Omaha, NE",,Private,412,639,52,367,507,51
2556,Regional West Medical Center,"Scottsbluff, NE",,Private,325,644,38,272,416,9
2557,Great Plains Health,"North Platte, NE",,Private,297,693,13,121,48,8
2558,Methodist Fremont Health,"Fremont, NE",,Government,363,44,15,86,9,12
2559,Chi Health Immanuel,"Omaha, NE",,Private,114,240,37,50,88,19
2560,Chi Health Midlands,"Papillion, NE",,Church,292,214,76,12,158,57
2561,Columbus Community Hospital,"Columbus, NE",,Unknown,388,484,17,313,86,16
2562,Faith Regional Health Services,"Norfolk, NE",,Private,402,623,68,180,289,7
2563,Lincoln Surgical Hospital,"Lincoln, NE",,Proprietary,152,320,61,107,66,29
2564,Chi Health Nebraska Heart,"Lincoln, NE",,Private,435,212,5,80,72,0
2565,Nebraska Orthopaedic Hospital,"Omaha, NE",,Unknown,265,597,18,225,104,11
2566,Chi Health Lakeside,"Omaha, NE",,Church,162,617,24,88,559,10
2567,Midwest Surgical Hospital Llc,"Omaha, NE",,Unknown,390,649,2,147,405,0
2568,Bellevue Medical Center,"Bellevue, NE",,Proprietary,296,461,35,165,68,9
2569,"Nebraska Spine Hospital, Llc","Omaha, NE",,Proprietary,428,101,14,251,78,9
2570,Kearney Regional Medical Center,"Kearney, NE",,Proprietary,160,602,3,92,145,3
2571,Harlan County Health System,"Alma, NE",,Government,140,547,6,109,156,5
2572,Fillmore County Hospital,"Geneva, NE",,Government,80,455,46,7,203,45
2573,Pawnee County Memorial Hospital,"Pawnee City, NE",,Government,284,86,61,196,34,35
2574,Niobrara Valley Hospital,"Lynch, NE",,Private,46,130,44,24,27,12
2575,Thayer County Health Services,"Hebron, NE",,Government,303,376,71,139,14,26
2576,Kimball Health Services,"Kimball, NE",,Government,208,211,30,94,138,16
2577,Kearney County Health Services Hospital,"Minden, NE",,Government,443,479,4,156,74,4
2578,Saunders Medical Center,"Wahoo, NE",,Government,368,323,3,112,204,1
2579,Henderson Health Care Services,"Henderson, NE",,Private,280,362,19,9,141,12
2580,Community Memorial Hospital,"Syracuse, NE",,Government,47,419,16,4,55,7
2581,Regional West Garden County Hospital,"Oshkosh, NE",,Private,42,586,24,24,22,7
2582,Franklin County Memorial Hospital,"Franklin, NE",,Government,263,411,42,116,129,14
2583,Genoa Community Hospital,"Genoa, NE",,Government,375,624,29,59,135,28
2584,Gothenburg Memorial Hospital,"Gothenburg, NE",,Government,36,608,8,33,35,1
2585,Annie Jeffrey Memorial County Health Center,"Osceola, NE",,Government,211,588,57,99,267,36
2586,Brodstone Memorial Hosp,"Superior, NE",,Private,494,159,40,243,136,27
2587,Webster County Community Hospital,"Red Cloud, NE",,Government,170,206,72,39,64,16
2588,Morrill County Community Hospital,"Bridgeport, NE",,Government,435,585,10,188,462,6
2589,Jefferson Community Health Center,"Fairbury, NE",,Private,80,144,44,62,16,7
2590,Memorial Hospital,"Aurora, NE",,Private,315,269,51,143,104,40
2591,Oakland Mercy Hospital,"Oakland, NE",,Private,375,64,63,309,39,58
2592,St Francis Memorial Hospital,"West Point, NE",,Private,77,592,46,62,132,7
2593,Chi Health Schuyler,"Schuyler, NE",,Private,439,345,54,383,343,2
2594,Nemaha County Hospital,"Auburn, NE",,Government,451,405,16,36,82,9
2595,Brown County Hospital,"Ainsworth, NE",,Government,44,654,35,34,294,2
2596,Antelope Memorial Hospital,"Neligh, NE",,Private,373,157,28,206,125,6
2597,Cozad Community Hospital,"Cozad, NE",,Government,131,422,45,6,171,36
2598,Merrick Medical Center,"Central City, NE",,Government,283,305,44,117,81,21
2599,Avera St Anthony's Hospital,"O' Neill, NE",,Church,82,246,48,30,30,6
2600,Warren Memorial Hospital,"Friend, NE",,Government,178,240,14,16,196,10
2601,Avera Creighton Hospital,"Creighton, NE",,Private,44,667,30,9,350,0
2602,Butler County Health Care Center,"David City, NE",,Government,74,325,57,32,67,22
2603,Rock County Hospital,"Bassett, NE",,Government,155,399,63,103,21,56
2604,Boone County Health Center,"Albion, NE",,Government,194,162,40,132,92,23
2605,Callaway District Hospital,"Callaway, NE",,Government,300,347,77,6,51,38
2606,York General Hospital,"York, NE",,Private,87,60,29,1,52,17
2607,Howard County Medical Center,"St Paul, NE",,Unknown,199,303,10,197,60,5
2608,Memorial Health Care Systems,"Seward, NE",,Private,48,570,40,38,516,19
2609,Dundy County Hospital,"Benkelman, NE",,Government,151,44,27,140,33,14
2610,Chadron Community Hospital Corp,"Chadron, NE",,Private,188,147,34,187,85,20
2611,Chi Health St Mary's,"Nebraska City, NE",,Church,427,201,18,227,95,18
2612,West Holt Memorial Hospital,"Atkinson, NE",,Private,90,283,36,60,210,8
2613,Cherry County Hospital,"Valentine, NE",,Government,300,537,14,155,359,3
2614,Providence Medical Center,"Wayne, NE",,Private,83,154,45,49,132,35
2615,Chi Health Plainview,"Plainview, NE",,Church,40,214,66,15,16,28
2616,Osmond General Hospital,"Osmond, NE",,Private,235,129,48,62,75,36
2617,Tri Valley Health System,"Cambridge, NE",,Private,304,552,44,275,231,1
2618,Pender Community Hospital,"Pender, NE",,Government,13,269,28,13,66,0
2619,Johnson County Hospital,"Tecumseh, NE",,Government,6,250,73,6,3,23
2620,Chase County Community Hospital,"Imperial, NE",,Government,288,181,38,19,74,37
2621,"Community Medical Center, Inc","Falls City, NE",,Private,308,145,14,86,111,5
2622,Valley County Health System,"Ord, NE",,Government,156,86,38,34,1,13
2623,Crete Area Medical Center,"Crete, NE",,Private,447,428,68,277,388,0
2624,Ogallala Community Hospital,"Ogallala, NE",,Government,241,607,51,238,241,42
2625,Perkins County Health Services,"Grant, NE",,Government,182,565,10,179,141,4
2626,Sidney Regional Medical Center,"Sidney, NE",,Private,264,156,1,204,48,1
2627,Gordon Memorial Hospital District,"Gordon, NE",,Government,374,294,6,306,109,2
2628,Memorial Community Hospital Mch & Health System,"Blair, NE",,Private,379,655,29,164,483,17
2629,Box Butte General Hospital,"Alliance, NE",,Government,481,483,45,93,127,16
2630,Lexington Regional Health Center,"Lexington, NE",,Government,74,80,70,66,34,54
2631,Phelps Memorial Health Center,"Holdrege, NE",,Private,231,654,29,10,109,11
2632,Community Hospital,"Mccook, NE",,Unknown,17,563,36,2,373,27
2633,"Beatrice Community Hospital & Health Center, Inc","Beatrice, NE",,Private,272,129,54,19,106,23
2634,Jennie M Melham Memorial Medical Center,"Broken Bow, NE",,Private,27,414,33,7,157,3
2635,Boys Town National Research Hospital,"Omaha, NE",,Private,130,58,50,127,27,2
2636,Children's Hospital & Medical Center,"Omaha, NE",,Private,344,413,40,129,57,2
2637,Renown Regional Medical Center,"Reno, NV",,Private,341,224,59,185,163,28
2638,Sunrise Hospital And Medical Center,"Las Vegas, NV",,Proprietary,340,658,29,23,358,1
2639,North Vista Hospital,"North Las Vegas, NV",,Private,128,577,59,61,121,38
2640,University Medical Center,"Las Vegas, NV",,Government,393,340,33,12,298,20
2641,Northeastern Nevada Regional Hospital,"Elko, NV",,Proprietary,294,72,54,129,17,18
2642,Saint Mary's Regional Medical Center,"Reno, NV",,Private,458,398,28,111,372,12
2643,St Rose Dominican Hospitals - Rose De Lima Campus,"Henderson, NV",,Church,250,412,16,180,223,15
2644,Carson Tahoe Regional Medical Center,"Carson City, NV",,Private,274,654,54,218,13,46
2645,Valley Hospital Medical Center,"Las Vegas, NV",,Proprietary,141,517,22,37,365,18
2646,Desert Springs Hospital,"Las Vegas, NV",,Proprietary,335,385,46,200,86,16
2647,Northern Nevada Medical Center,"Sparks, NV",,Proprietary,23,191,24,10,61,24
2648,Mountainview Hospital,"Las Vegas, NV",,Proprietary,272,339,6,15,299,6
2649,Summerlin Hospital Medical Center,"Las Vegas, NV",,Proprietary,309,458,76,288,284,52
2650,Harmon Hospital,"Las Vegas, NV",,Private,486,60,72,436,21,60
2651,St Rose Dominican Hospitals - Siena Campus,"Henderson, NV",,Private,434,46,9,58,46,5
2652,Spring Valley Hospital Medical Center,"Las Vegas, NV",,Proprietary,63,232,77,38,7,57
2653,Southern Hills Hospital And Medical Center,"Las Vegas, NV",,Private,177,623,16,171,129,10
2654,Renown South Meadows Medical Center,"Reno, NV",,Private,168,322,18,127,77,14
2655,St Rose Dominican Hospitals - San Martin Campus,"Las Vegas, NV",,Church,110,688,17,4,518,5
2656,Centennial Hills Hospital Medical Center,"Las Vegas, NV",,Proprietary,278,680,26,251,288,14
2657,Mountain's Edge Hospital,"Las Vegas, NV",,Private,104,608,53,9,558,4
2658,Henderson Hospital,"Henderson, NV",,Proprietary,218,601,18,32,281,2
2659,Mount Grant General Hospital,"Hawthorne, NV",,Government,105,310,65,5,47,53
2660,Incline Village Health Center,"Incline Village, NV",,Government,206,373,28,10,206,14
2661,William Bee Ririe Hospital,"Ely, NV",,Government,440,51,72,155,41,69
2662,Battle Mountain General Hospital,"Batte Mtn, NV",,Government,83,281,4,31,43,0
2663,Pershing General Hospital,"Lovelock, NV",,Government,425,126,37,61,16,4
2664,Carson Valley Medical Center,"Gardnerville, NV",,Private,53,595,9,53,312,6
2665,Mesa View Regional Hospital,"Mesquite, NV",,Proprietary,177,79,75,69,62,34
2666,Humboldt General Hospital,"Winnemucca, NV",,Government,11,273,38,2,208,1
2667,Boulder City Hospital,"Boulder City, NV",,Private,22,370,30,15,233,16
2668,Desert View Hospital,"Pahrump, NV",,Proprietary,456,362,47,346,191,17
2669,Grover C Dils Medical Center,"Caliente, NV",,Government,106,451,63,51,169,16
2670,Banner Churchill Community Hospital,"Fallon, NV",,Unknown,292,463,27,110,114,4
2671,South Lyon Medical Center,"Yerington, NV",,Government,131,687,60,37,553,13
2672,Concord Hospital,"Concord, NH",,Private,469,152,47,448,24,43
2673,Mary Hitchcock Memorial Hospital,"Lebanon, NH",,Private,36,283,70,2,237,20
2674,Lakes Region General Hospital,"Laconia, NH",,Private,479,87,5,110,56,4
2675,St Joseph Hospital,"Nashua, NH",,Unknown,66,81,65,32,19,49
2676,Elliot Hospital,"Manchester, NH",,Private,401,692,10,218,113,9
2677,Frisbie Memorial Hospital,"Rochester, NH",,Private,87,586,76,47,492,65
2678,Parkland Medical Center,"Derry, NH",,Proprietary,360,484,40,223,12,26
2679,Wentworth-douglass Hospital,"Dover, NH",,Private,383,237,22,309,166,4
2680,Cheshire Medical Center,"Keene, NH",,Private,411,677,14,231,182,6
2681,Southern Nh Medical Center,"Nashua, NH",,Private,16,470,75,10,129,34
2682,Exeter Hospital Inc,"Exeter, NH",,Private,151,255,24,66,58,11
2683,Portsmouth Regional Hospital,"Portsmouth, NH",,Proprietary,412,284,17,209,131,15
2684,Catholic Medical Center,"Manchester, NH",,Private,400,345,45,376,33,37
2685,Upper Connecticut Valley Hospital,"Colebrook, NH",,Private,128,159,68,71,134,28
2686,Cottage Hospital,"Woodsville, NH",,Private,50,221,56,10,102,26
2687,Littleton Regional Healthcare,"Littleton, NH",,Private,5,220,36,1,95,10
2688,Weeks Medical Center,"Lancaster, NH",,Private,67,193,49,51,15,11
2689,New London Hospital,"New London, NH",,Private,454,78,46,64,22,33
2690,Alice Peck Day Memorial Hospital,"Lebanon, NH",,Private,10,561,5,5,341,4
2691,Franklin Regional Hospital,"Franklin, NH",,Private,310,266,29,206,139,4
2692,"Memorial Hospital, The","North Conway, NH",,Private,164,289,1,23,1,1
2693,Valley Regional Hospital,"Claremont, NH",,Private,268,406,17,77,114,12
2694,Monadnock Community Hospital,"Peterborough, NH",,Private,74,128,25,55,55,19
2695,Androscoggin Valley Hospital,"Berlin, NH",,Private,158,584,28,2,343,22
2696,Speare Memorial Hospital,"Plymouth, NH",,Private,190,216,16,179,212,15
2697,Huggins Hospital,"Wolfeboro, NH",,Private,488,357,32,399,349,11
2698,Hackensack University Medical Center,"Hackensack, NJ",,Private,156,572,13,93,190,5
2699,Newark Beth Israel Medical Center,"Newark, NJ",,Private,430,514,26,300,333,2
2700,Palisades Medical Center,"North Bergen, NJ",,Private,156,667,25,149,530,24
2701,Hunterdon Medical Center,"Flemington, NJ",,Private,375,660,7,266,20,7
2702,St Mary's General Hospital,"Passaic, NJ",,Proprietary,488,209,14,38,195,14
2703,Holy Name Medical Center,"Teaneck, NJ",,Private,227,145,14,36,34,11
2704,Clara Maass Medical Center,"Belleville, NJ",,Private,67,68,54,42,52,28
2705,Penn Medicine Princeton Medical Center,"Plainsboro, NJ",,Private,437,409,70,357,364,2
2706,Cape Regional Medical Center Inc,"Cape May Court House, NJ",,Private,28,232,3,3,192,1
2707,Valley Hospital,"Ridgewood, NJ",,Private,420,182,13,324,14,5
2708,Cooper University Hospital,"Camden, NJ",,Private,201,110,44,116,44,28
2709,Morristown Medical Center,"Morristown, NJ",,Private,124,691,5,37,509,4
2710,Carepoint Health-christ Hospital,"Jersey City, NJ",,Church,196,349,57,61,347,9
2711,Chilton Medical Center,"Pompton Plains, NJ",,Private,204,530,18,126,114,9
2712,St Joseph's University Medical Center,"Paterson, NJ",,Church,314,554,46,284,58,6
2713,St Francis Medical Center,"Trenton, NJ",,Church,285,425,47,76,117,1
2714,Virtua West Jersey Hospitals Voorhees,"Voorhees, NJ",,Private,489,308,13,233,297,2
2715,Robert Wood Johnson University Hospital At Rahway,"Rahway, NJ",,Private,326,278,64,303,262,23
2716,Carepoint Health - Bayonne Medical Center,"Bayonne, NJ",,Private,297,511,52,83,493,7
2717,Trinitas Regional Medical Center,"Elizabeth, NJ",,Private,172,165,56,106,142,42
2718,Newton Medical Center,"Newton, NJ",,Private,180,542,47,7,465,10
2719,Our Lady Of Lourdes Medical Center,"Camden, NJ",,Private,439,675,24,343,87,5
2720,Deborah Heart And Lung Center,"Browns Mills, NJ",,Private,199,394,6,154,213,5
2721,Inspira Medical Center Vineland,"Vineland, NJ",,Private,200,255,19,85,164,5
2722,Riverview Medical Center,"Red Bank, NJ",,Private,304,543,37,177,87,19
2723,Robert Wood Johnson University Hospital,"New Brunswick, NJ",,Private,10,459,69,10,337,55
2724,Raritan Bay Medical Center Perth Amboy Division,"Perth Amboy, NJ",,Private,21,582,36,12,542,33
2725,Carepoint Health-hoboken University Medical Center,"Hoboken, NJ",,Church,179,102,37,150,56,0
2726,Community Medical Center,"Toms River, NJ",,Private,165,59,4,150,8,1
2727,Capital Health Medical Center - Hopewell,"Pennington, NJ",,Private,328,294,53,154,207,38
2728,Englewood Hospital And Medical Center,"Englewood, NJ",,Private,103,477,33,41,232,31
2729,Shore Medical Center,"Somers Point, NJ",,Private,380,365,72,227,52,10
2730,Robert Wood Johnson University Hospital Somerset,"Somerville, NJ",,Private,195,61,44,101,46,30
2731,Saint Clare's Hospital/ Denville Campus,"Denville, NJ",,Proprietary,487,326,14,140,301,8
2732,Overlook Medical Center,"Summit, NJ",,Unknown,9,93,9,1,20,8
2733,Ocean Medical Center,"Brick, NJ",,Unknown,18,504,2,5,225,1
2734,Hackensack-umc Mountainside,"Montclair, NJ",,Private,199,297,38,24,285,21
2735,Virtua Memorial Hospital Of Burlington County,"Mount Holly, NJ",,Private,284,111,61,174,107,37
2736,Bergen Regional Medical Center,"Paramus, NJ",,Government,491,322,74,278,306,8
2737,St Luke's Warren Hospital,"Phillipsburg, NJ",,Unknown,269,290,33,178,49,3
2738,Lourdes Medical Center Of Burlington County,"Willingboro, NJ",,Private,353,425,40,299,2,9
2739,Atlanticare Regional Medical Center - City Campus,"Atlantic City, NJ",,Unknown,299,486,47,272,211,9
2740,Inspira Medical Center Elmer,"Elmer, NJ",,Private,198,129,66,66,39,13
2741,Saint Peter's University Hospital,"New Brunswick, NJ",,Church,221,318,61,172,267,58
2742,Jersey Shore University Medical Center,"Neptune, NJ",,Private,47,388,37,32,299,3
2743,Jersey City Medical Center,"Jersey City, NJ",,Private,417,56,21,335,49,4
2744,Monmouth Medical Center,"Long Branch, NJ",,Private,106,495,74,66,239,60
2745,Saint Barnabas Medical Center,"Livingston, NJ",,Unknown,54,513,77,18,117,61
2746,Inspira Medical Center Woodbury,"Woodbury, NJ",,Private,364,459,42,260,444,16
2747,East Orange General Hospital,"East Orange, NJ",,Private,220,677,60,151,224,14
2748,Monmouth Medical Center-southern Campus,"Lakewood, NJ",,Private,107,644,42,14,303,15
2749,Jefferson Stratford Hospital,"Stratford, NJ",,Private,485,674,12,65,380,5
2750,Memorial Hospital Of Salem County,"Salem, NJ",,Private,415,652,28,333,364,4
2751,Capital Health System-fuld Campus,"Trenton, NJ",,Private,41,518,7,4,455,1
2752,Saint Michael's Medical Center,"Newark, NJ",,Private,123,243,39,84,39,17
2753,Jfk Medical Ctr - Anthony M. Yelencsics Community,"Edison, NJ",,Private,300,268,41,86,96,19
2754,Robert Wood Johnson University Hospital Hamilton,"Hamilton, NJ",,Private,23,146,53,12,133,36
2755,Centrastate Medical Center,"Freehold, NJ",,Private,489,117,48,322,33,26
2756,Bayshore Medical Center,"Holmdel, NJ",,Private,195,98,9,99,92,1
2757,Southern Ocean Medical Center,"Manahawkin, NJ",,Private,155,99,21,79,25,15
2758,Hackettstown Medical Center,"Hackettstown, NJ",,Church,273,695,37,145,120,8
2759,Hudson Regional Hospital,"Secaucus, NJ",,Proprietary,239,431,20,24,308,17
2760,University Hospital,"Newark, NJ",,Government,237,559,32,12,326,13
2761,Hackensack Meridian Health Pascack Valley Medical,"Westwood, NJ",,Proprietary,212,368,1,68,239,1
2762,Children's Specialized Hospital,"New Brunswick, NJ",,Private,231,303,48,88,138,37
